year,women_specific,ministry,scheme,expenditure
2017-18,Women Specific 100% ,Andaman and Nicobar Islands,Women Empowerment,23.19
2017-18,Women Specific 100% ,Andaman and Nicobar Islands,National Programme for Adolescent Girls,0.87
2017-18,Women Specific 100% ,Andaman and Nicobar Islands,Andaman and Nicobar Islands Total,24.06
2017-18,Women Specific 30%,Andaman and Nicobar Islands,Welfare of Senior Citizens,34.08
2017-18,Women Specific 100% ,Chandigarh,Women Empowerment,17.95
2017-18,Women Specific 100% ,Chandigarh,"Women Polytechnic, Girls Hostel",8.57
2017-18,Women Specific 100% ,Chandigarh,"Incentives to girls students, women education, working women hostel, and laptop and bycycle to girls students",25.94
2017-18,Women Specific 100% ,Chandigarh,Government ITI for women,5.85
2017-18,Women Specific 100% ,Chandigarh,"Creches, Aganwadi Centre, Apni Beti Apna Dhan Scheme, National Family Benefits Schemes etc.",0.02
2017-18,Women Specific 100% ,Chandigarh,Upgradation of CHC,14.52
2017-18,Women Specific 100% ,Chandigarh,Upgradation of CHC,2.4
2017-18,Women Specific 100% ,Chandigarh,Chandigarh Total,75.25
2017-18,Women Specific 30%,Chandigarh,"Nutrition Programme, Old age pension, Disability pension , Social Welfare etc.",182.78
2017-18,Women Specific 100% ,Dadra and Nagar Haveli,Women Welfare Scheme,10.65
2017-18,Women Specific 30%,Dadra and Nagar Haveli,Women Welfare Scheme,0.01
2017-18,Women Specific 100% ,Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education",0.37
2017-18,Women Specific 30%,Daman and Diu,Assistance to Widows,5.39
2017-18,Women Specific 30%,Daman and Diu,Daman and Diu Total,5.39
2017-18,Women Specific 100% ,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",2.89
2017-18,Women Specific 100% ,Department of Agricultural Research and Education,"All India Co-ordinated Research Project on Home Science, Bhubneshwar",7.82
2017-18,Women Specific 100% ,Department of Agricultural Research and Education,Department of Agricultural Research and Education Total,10.71
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Information and Mass Communication Cell,7.5
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute / Centre Universal Design,1.91
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,0.11
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,0.75
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Aids and Appliances for the Handicapped,60.0
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Fellowship for PwDs,10.92
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Post Matric Scholarship to PwDs,4.82
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to Braille Presss,0.3
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to Braille Presss,3.0
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to National Trust,0.21
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to National Trust,5.1
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,In Services Training and Senisitization of State Govt local bodies and other services,0.6
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Research and Disability  Related Technology Product and Issues,0.3
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Pre Matric Scholarship,3.0
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Handicapped Finance and Develolpment Corporation,1.5
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,9.82
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,66.75
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Grants in aid to National University of Rehab Science and Disability Studies,1.5
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Implimentation of the Persons with Disabilities Act 1995,77.1
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Deendayal Disabled Rehabilitation  Schemes,18.0
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Overseas Scholarship for PwDs,0.6
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Setting up of State Spinal Injury Centres,1.5
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Awareness General and Publicity,0.9
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Office of the Chief Commissioner for Handicapped,0.6
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Office of the Chief Commissioner for Handicapped,6.23
2017-18,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Department of Empowerment of Persons with Disabilities Total,283.02
2017-18,Women Specific 100% ,Department of Higher Education,Prime Ministers Girls Hostel,10.0
2017-18,Women Specific 30%,Department of Higher Education,Indira Gandhi National Open University,3904.89
2017-18,Women Specific 30%,Department of Higher Education,National Institutes of Technical Teachers Training and Research,30.0
2017-18,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,53.69
2017-18,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,133.97
2017-18,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Technology,32.41
2017-18,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,2917.11
2017-18,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,287.62
2017-18,Women Specific 30%,Department of Higher Education,National Institute of Industrial Engineering,11.47
2017-18,Women Specific 30%,Department of Higher Education,"Indian School of Mines, Dhanbad",71.99
2017-18,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,1031.2
2017-18,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,107.77
2017-18,Women Specific 30%,Department of Higher Education,Indian Institutes of Science Education and Research,156.0
2017-18,Women Specific 30%,Department of Higher Education,Interest Subsidy and Contribution to Guarantee Fund,220.5
2017-18,Women Specific 30%,Department of Higher Education,"Assistance to other Institutes including SLIET, NERIST, NIFFT Ranchi and CIT Kokrajhar",585.0
2017-18,Women Specific 30%,Department of Higher Education,Schools of Planning and Architecture,94.2
2017-18,Women Specific 30%,Department of Higher Education,Rashtriya Uchchatar Shiksha Abhiyan (RUSA),30.6
2017-18,Women Specific 30%,Department of Higher Education,e-Shodh Sindhu,373.8
2017-18,Women Specific 30%,Department of Higher Education,National Initiative for Excellence for Humanities and Social Sciences,43.54
2017-18,Women Specific 30%,Department of Higher Education,National Initiative for Excellence for Humanities and Social Sciences,69.03
2017-18,Women Specific 30%,Department of Higher Education,Setting up of new Indian Institutes of Management,102.87
2017-18,Women Specific 30%,Department of Higher Education,Setting up of new Indian Institutes of Management,33.0
2017-18,Women Specific 30%,Department of Higher Education,Department of Higher Education Total,10290.66
2017-18,Women Specific 100% ,Department of Rural Development,National Rural Livelihood Mission-Aajeevika,22579.29
2017-18,Women Specific 30%,Department of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,2158.94
2017-18,Women Specific 30%,Department of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,18388.69
2017-18,Women Specific 30%,Department of Rural Development,Department of Rural Development Total,20547.63
2017-18,Women Specific 100% ,Department of School Education and Literacy,National Scheme for Incentive to Girl Child for Secondary Education,292.38
2017-18,Women Specific 30%,Department of School Education and Literacy,Sarva Shiksha Abhiyan,7045.08
2017-18,Women Specific 30%,Department of School Education and Literacy,Rashtriya Madhyamik Shiksha Abhiyan,1210.03
2017-18,Women Specific 30%,Department of School Education and Literacy,Education Scheme for Madrassas and Minorities,2727.69
2017-18,Women Specific 30%,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan,32.37
2017-18,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,1499.18
2017-18,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,955.5
2017-18,Women Specific 30%,Department of School Education and Literacy,Department of School Education and Literacy Total,13469.85
2017-18,Women Specific 100% ,Department of Science and Technology,DISHA Programme for women in science,74.95
2017-18,Women Specific 100% ,Department of Social Justice and Empowerment,Girls Hostel for SCs,70.01
